circ,record,nest_age,x,y,transect,placa,hectare,arrival_time,attack_time,num_attacks,num_phorids
48.9,231,1,286.7,3.4,1,229,3,102.9,34,2,1
27.7,243,1,247.8,10.1,1,243,3,26.32,300,17,6
80.9,693,1,223.7,8.5,3,706,3,32.78,300,35,5
84.4,909,1,206.4,0.4,4,992,3,23.53,216.13,36,13
87.2,923,1,256.1,9.5,4,1010,3,25.47,220.87,15,4
88,1107,1,59.2,8.1,5,1108,5,15.43,208,3,10
37.7,1330,1,52.4,7.2,6,1317,10,50.37,222.34,34,6
71.4,241,2,256.2,9.6,1,241,3,117.4,141.09,24,2
30.5,573,2,86.2,3.5,3,556,5,81.75,223.93,26,3
65,841,2,17.7,3.9,4,825,5,24,158.16,15,8
96.8,1585,2,34.6,6.2,7,1547,10,28.78,66.31,6,2
128.5,1729,2,269,0,7,1735,8,24.25,257.92,59,9
91.5,1817,2,331.2,2.3,7,1823,7,24.46,216.52,36,4
34,2268,2,314,5.8,9,2283,7,23.25,225.05,30,6
64,7466,2,70.3,8.7,33,7548,11,15.07,188.93,32,4
75.5,1187,3,245.1,2.5,5,1208,3,11.59,157.59,26,12
210.5,1220,3,243.9,6,5,1222,3,19.18,300,52,9
39.2,1219,3,253.8,6.7,5,1251,3,14.5,180.47,26,7
44.1,2046,3,6.8,9.4,8,2052,10,34.32,300,31,7
26.5,7422,3,1.2,1.8,33,7415,11,20.66,281.07,63,12
59,7561,3,17.8,1.6,34,7591,11,17.72,178.44,45,11
54.6,1942,6,345,8.1,8,1948,7,52.16,240.18,22,3
57.3,2149,6,41.8,0.7,9,2185,10,13.25,300,44,14
79.4,4851,6,133.6,5,20,4831,25,21.5,218.59,25,5
12,7665,6,26.5,4.6,35,7738,11,13.75,300,69,5
41,7909,6,30,7.6,37,7950,19,37.78,186.75,20,5
55.5,8332,7,35.1,1.6,40,356,19,19.96,140.19,15,3
62,1481,7,243.3,2.4,6,1498,8,23.78,186.63,33,7
54.3,1932,7,312.2,0.2,8,1938,7,62,113.01,6,2
152,2588,7,1.2,1.8,10,2598,10,14.4,300,35,5
64.5,7793,7,74.1,5.2,36,7815,19,19.66,165.53,18,4
77.4,1898,8,362,6.4,8,1904,7,35.23,141.43,26,6
217.3,1946,8,356.5,2.3,8,1952,7,25.12,300,61,5
116,3880,8,112.2,1,16,3940,25,127.03,57.69,2,1
74,4156,8,120.7,4.4,17,4195,25,88.4,81.22,5,1
40.5,1012,8,330,0.4,4,1080,2,77.87,199.66,20,2
86.1,1152,8,174.5,4.3,5,1135,4,145.53,61.47,2,1
42.5,2523,9,118.7,4.3,10,2564,9,92.82,270.02,21,2
139.2,4437,9,274.6,5.4,18,4404,24,35.54,137.57,18,3
163.9,2909,9,439,4.7,11,2917,14,73.07,300,45,6
73.5,712,9,304.6,0,3,734,2,77.22,93.31,6,2
102,2242,10,292.7,0.4,9,2268,8,12.94,156.32,18,6
117,7722,10,155.9,9.7,35,7767,12,22.06,271.19,36,4
44.2,1059,11,47.2,8.5,5,1031,5,31.59,131.82,19,5
32.3,2886,11,472.1,1.5,11,2894,14,170.28,204.94,18,3
54.1,1017,11,304.7,3.6,4,1017,2,211.75,70.17,3,2
63.8,132,11,151.3,7.3,1,134,4,30.38,300,17,4
124.9,1574,12,2.4,5.1,7,1537,10,45.75,118.59,13,5
146.5,1805,12,378.4,10,7,1811,7,65.5,300,86,5
240.6,1461,13,297,3.8,6,1485,8,17.22,300,72,15
113,7205,13,32.5,3.5,31,7213,11,129.44,60,0,1
40,7601,13,99.6,3.6,34,7613,11,22.72,46.87,4,1
51.4,341,13,110.2,9.1,2,339,4,64.15,169.41,5,2
